gene	disease
PVRL1	CLEFT LIP/PALATE-ECTODERMAL DYSPLASIA SYNDROME 
PVRL1	ROSSELLI-GULIENETTISYNDROME
PVRL4	ECTODERMAL DYSPLASIA-SYNDACTYLY SYNDROME 1 
PYCR1	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIB 
PYCR1	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIIA 
PYCR1	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIIB 
PYCR1	GERODERMA OSTEODYSPLASTICUM 
PYCR1	WRINKLY SKIN SYNDROME 
PYGL	GLYCOGEN STORAGE DISEASE VI 
PYGM	GLYCOGEN STORAGE DISEASE V 
PYY	OBESITY 
QDPR	HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C 
RAB18	WARBURG MICRO SYNDROME 1 
RAB18	WARBURG MICRO SYNDROME 3 
RAB23	CARPENTER SYNDROME 
RAB27A	GRISCELLI SYNDROME, TYPE 2 
RAB39B	MENTAL RETARDATION, X-LINKED 72 
RAB3GAP1	WARBURG MICRO SYNDROME 1 
RAB3GAP2	MARTSOLF SYNDROME 
RAB3GAP2	WARBURG MICRO SYNDROME 2 
RAB7A	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2B 
RAC2	NEUTROPHIL IMMUNODEFICIENCY SYNDROME 
RAD50	NIJMEGEN BREAKAGE SYNDROME-LIKE DISORDER 
RAD51	BREAST CANCER 
RAD51B	LEIOMYOMA, UTERINE 
RAD51C	BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 3 
RAD51C	FANCONI ANEMIA, COMPLEMENTATION GROUP O 
RAD51D	BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 4 
RAD54L	BREAST CANCER 
RAD54L	LYMPHOMA, NON-HODGKIN, FAMILIAL 
RAF1	LEOPARD SYNDROME 2 
RAF1	NOONAN SYNDROME 5 
RAG1	ALPHA/BETA T-CELL LYMPHOPENIA WITH GAMMA/DELTA T-CELL EXPANSION, SEVERE 
RAG1	COMBINED CELLULAR AND HUMORAL IMMUNE DEFECTS WITH GRANULOMAS 
RAG1	OMENN SYNDROME 
RAG1	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, 
RAG2	COMBINED CELLULAR AND HUMORAL IMMUNE DEFECTS WITH GRANULOMAS 
RAG2	OMENN SYNDROME 
RAG2	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, 
RAI1	POTOCKI-LUPSKI SYNDROME 
RAI1	SMITH-MAGENIS SYNDROME 
RANBP2	ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, 3, SUCEPTIBILITY TO 
RAPSN	FETAL AKINESIA DEFORMATION SEQUENCE 
RAPSN	MYASTHENIC SYNDROME, CONGENITAL, ASSOCIATED WITH ACETYLCHOLINE RECEPTOR 
RARA	ACUTE PROMYELOCYTIC LEUKEMIA 
RARS2	PONTOCEREBELLAR HYPOPLASIA, TYPE 6 
RASA1	BASALCELLCARCINOMA,SUSCEPTIBILITYTO,1
RASA1	CAPILLARY MALFORMATION-ARTERIOVENOUS MALFORMATION 
RASA1	PARKES WEBER SYNDROME 
RASGRP1	SYSTEMIC LUPUS ERYTHEMATOSUS 
RASSF1	LUNG CANCER 
RASSF8	SYNPOLYDACTYLY 2 
RAX	MICROPHTHALMIA, ISOLATED 3 
RAX2	CONE-ROD DYSTROPHY 11 
RAX2	MACULAR DEGENERATION, AGE-RELATED, 6 
RB1	BLADDER CANCER 
RB1	OSTEOGENIC SARCOMA 
RB1	RETINOBLASTOMA 
RB1	SMALLCELLCANCEROFTHELUNG
RB1CC1	BREAST CANCER 
RBM10	TARP SYNDROME 
RBM20	CARDIOMYOPATHY, DILATED, 1DD 
RBM28	ALOPECIA, NEUROLOGIC DEFECTS, AND ENDOCRINOPATHY SYNDROME 
RBMY1A1	SPERMATOGENIC FAILURE, Y-LINKED, 2 
RCBTB1	ALCOHOL DEPENDENCE 
RD3	LEBER CONGENITAL AMAUROSIS 12 
RDH12	LEBER CONGENITAL AMAUROSIS 13 
RDH12	LEBER CONGENITAL AMAUROSIS 3 
RDH5	FUNDUS ALBIPUNCTATUS 
RDX	DEAFNESS, AUTOSOMAL RECESSIVE 24 
RECQL4	BALLER-GEROLD SYNDROME 
RECQL4	RAPADILINO SYNDROME 
RECQL4	ROTHMUND-THOMSON SYNDROME 
REEP1	SPASTIC PARAPLEGIA 31, AUTOSOMAL DOMINANT 
REG1A	PANCREATITIS, HEREDITARY 
RELN	LISSENCEPHALY 2 
REN	HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVENILE, 2 
REN	RENAL TUBULAR DYSGENESIS 
RET	CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL 
RET	COLORECTAL CANCER 
RET	HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 1 
RET	MULTIPLE ENDOCRINE NEOPLASIA, TYPE IIA 
RET	MULTIPLE ENDOCRINE NEOPLASIA, TYPE IIB 
RET	PHEOCHROMOCYTOMA 
RET	RENAL ADYSPLASIA 
RET	THYROID CARCINOMA, FAMILIAL MEDULLARY 
RET	THYROID CARCINOMA, PAPILLARY 
RETN	DIABETES MELLITUS, NONINSULIN-DEPENDENT 
RFC2	WILLIAMS-BEUREN SYNDROME 
RFT1	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE In 
RFX5	BARE LYMPHOCYTE SYNDROME, TYPE II 
RFX6	PANCREATIC HYPOPLASIA, INTESTINAL ATRESIA, AND GALLBLADDER APLASIA 
RFXANK	BARE LYMPHOCYTE SYNDROME, TYPE II 
RFXAP	BARE LYMPHOCYTE SYNDROME, TYPE II 
RGR	RETINITIS PIGMENTOSA 44 
RGS4	SCHIZOPHRENIA 
RGS4	SCHIZOPHRENIA 9 
RGS5	HYPERTENSION, ESSENTIAL 
RGS9	PROLONGED ELECTRORETINAL RESPONSE SUPPRESSION 
RGS9BP	PROLONGED ELECTRORETINAL RESPONSE SUPPRESSION 
RHAG	RH-NULL, REGULATOR TYPE 
RHAG	STOMATOCYTOSISI
RHCE	BLOOD GROUP--RHESUS SYSTEM E POLYPEPTIDE 
RHO	FUNDUS ALBIPUNCTATUS 
RHO	NIGHT BLINDNESS, CONGENITAL STATIONARY, AUTOSOMAL DOMINANT 1 
RHO	RETINITIS PIGMENTOSA 4 
RIMS1	CONE-ROD DYSTROPHY 7 
RIN2	MACROCEPHALY, ALOPECIA, CUTIS LAXA, AND SCOLIOSIS 
RLBP1	BOTHNIA RETINAL DYSTROPHY 
RLBP1	FUNDUS ALBIPUNCTATUS 
RLBP1	NEWFOUNDLAND ROD-CONE DYSTROPHY 
RLBP1	RETINITIS PIGMENTOSA 
RNASEH2A	AICARDI-GOUTIERES SYNDROME 4 
RNASEH2B	AICARDI-GOUTIERES SYNDROME 2 
RNASEH2C	AICARDI-GOUTIERES SYNDROME 3 
RNASEL	PROSTATE CANCER 
RNASEL	PROSTATE CANCER, HEREDITARY, 1 
RNASET2	LEUKOENCEPHALOPATHY, CYSTIC, WITHOUT MEGALENCEPHALY 
RNF114	PSORIASISSUSCEPTIBILITY12
RNF135	CHROMOSOME 17q11.2 DELETION SYNDROME, 1.4-MB 
RNF135	MACROCEPHALY, MACROSOMIA, FACIAL DYSMORPHISM SYNDROME 
RNF139	RENAL CELL CARCINOMA, NONPAPILLARY 
RNF168	RIDDLE SYNDROME 
RNF212	RECOMBINATION RATE QUANTITATIVE TRAIT LOCUS 1 
RNF213	MOYAMOYA DISEASE 2 
RNF6	ESOPHAGEAL CANCER 
ROBO2	VESICOURETERAL REFLUX 2 
ROBO3	GAZE PALSY, FAMILIAL HORIZONTAL, WITH PROGRESSIVE SCOLIOSIS 
ROM1	RETINITIS PIGMENTOSA 
ROR2	BRACHYDACTYLY, TYPE B1 
ROR2	ROBINOW SYNDROME, AUTOSOMAL RECESSIVE 
RP1	HYPERTRIGLYCERIDEMIA, FAMILIAL 
RP1	RETINITIS PIGMENTOSA 1 
RP11-155D18.11.1	AMINOACYLASE 1 DEFICIENCY 
RP11-566K11.2.1	CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 
RP11-566K11.2.1	FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 3A, WITH OR WITHOUT EXTRAOCULAR 
RP1L1	OCCULT MACULAR DYSTROPHY 
RP2	CHROMOSOME Xp11.3 DELETION SYNDROME 
RP2	RETINITIS PIGMENTOSA 2 
RP4-559A3.7.1	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIIA 
RP4-559A3.7.1	GERODERMA OSTEODYSPLASTICUM 
RP4-559A3.7.1	WRINKLY SKIN SYNDROME 
RP9	RETINITIS PIGMENTOSA 
RP9	RETINITIS PIGMENTOSA 9 
RPE65	LEBER CONGENITAL AMAUROSIS 2 
RPE65	RETINITIS PIGMENTOSA 20 
RPGR	CONE-ROD DYSTROPHY, X-LINKED, 1 
RPGR	MACULAR DEGENERATION, X-LINKED ATROPHIC 
RPGR	RETINITIS PIGMENTOSA 3 
RPGR	RETINITIS PIGMENTOSA, X-LINKED, AND SINORESPIRATORY INFECTIONS, WITH 
RPGRIP1	CONE-ROD DYSTROPHY 13 
RPGRIP1	LEBER CONGENITAL AMAUROSIS 6 
RPGRIP1L	COACH SYNDROME 
RPGRIP1L	JOUBERT SYNDROME 7 
RPGRIP1L	MECKEL SYNDROME, TYPE 5 
RPIA	RIBOSE 5-PHOSPHATE ISOMERASE DEFICIENCY 
RPL10	AUTISM, SUSCEPTIBILITY TO, X-LINKED 5 
RPL11	DIAMOND-BLACKFAN ANEMIA 7 
RPL35A	DIAMOND-BLACKFAN ANEMIA 5 
RPL5	DIAMOND-BLACKFAN ANEMIA 6 
RPS10	DIAMOND-BLACKFAN ANEMIA 9 
RPS14	CHROMOSOME 5q DELETION SYNDROME 
RPS17	DIAMOND-BLACKFAN ANEMIA 4 
RPS17L	DIAMOND-BLACKFAN ANEMIA 4 
RPS19	DIAMOND-BLACKFAN ANEMIA 
RPS24	DIAMOND-BLACKFAN ANEMIA 3 
RPS26	DIAMOND-BLACKFAN ANEMIA 10 
RPS6KA3	COFFIN-LOWRY SYNDROME 
RPS6KA3	MENTAL RETARDATION, X-LINKED 19 
RPS7	DIAMOND-BLACKFAN ANEMIA 8 
RPSA	ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 5 
RRAS2	OVARIAN CANCER 
RRM2B	MITOCHONDRIAL DNA DEPLETION SYNDROME 8A (ENCEPHALOMYOPATHIC TYPE WITH 
RRM2B	PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, 
RS1	RETINOSCHISIS 1, X-LINKED, JUVENILE 
RSPH4A	CILIARY DYSKINESIA, PRIMARY, 11 
RSPH9	CILIARY DYSKINESIA, PRIMARY, 12 
RSPO1	PALMOPLANTAR HYPERKERATOSIS WITH SQUAMOUS CELL CARCINOMA OF SKIN AND 
RSPO4	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 4 
RTL1	UNIPARENTAL DISOMY, PATERNAL, CHROMOSOME 14 
RTN4R	SCHIZOPHRENIA 
RUNX1	LEUKEMIA, ACUTE MYELOID 
RUNX1	LEUKEMIA, CHRONIC MYELOID 
RUNX1	PLATELET DISORDER, FAMILIAL, WITH ASSOCIATED MYELOID MALIGNANCY 
RUNX1	RHEUMATOID ARTHRITIS 
RUNX1T1	COLORECTAL CANCER 
RUNX2	CLEIDOCRANIAL DYSPLASIA 
RXFP2	CRYPTORCHIDISM, UNILATERAL OR BILATERAL 
RYR1	CENTRAL CORE DISEASE OF MUSCLE 
RYR1	MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY TO, 1 
RYR1	MINICORE MYOPATHY WITH EXTERNAL OPHTHALMOPLEGIA 
RYR1	MYOPATHY, CENTRONUCLEAR, 1 
RYR1	MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION 
RYR2	ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 2 
RYR2	VENTRICULAR TACHYCARDIA, CATECHOLAMINERGIC POLYMORPHIC, 1, WITH OR 
SACS	SPASTIC ATAXIA, CHARLEVOIX-SAGUENAY TYPE 
SAG	OGUCHI DISEASE 1 
SAG	RETINITIS PIGMENTOSA 47 
SALL1	TOWNES-BROCKS SYNDROME 
SALL4	DUANE-RADIAL RAY SYNDROME 
SALL4	IVIC SYNDROME 
SAMD9	TUMORAL CALCINOSIS, NORMOPHOSPHATEMIC, FAMILIAL 
SAMHD1	AICARDI-GOUTIERES SYNDROME 5 
SAMHD1	CHILBLAIN LUPUS 2 
SAR1B	CHYLOMICRON RETENTION DISEASE 
SARS2	HYPERURICEMIA, PULMONARY HYPERTENSION, RENAL FAILURE, AND ALKALOSIS 
SART3	POROKERATOSIS, DISSEMINATED SUPERFICIAL ACTINIC, 1 
SAT1	KERATOSIS FOLLICULARIS SPINULOSA DECALVANS, X-LINKED 
SATB2	CHROMOSOME 2q32-q33 DELETION SYNDROME 
SATB2	CLEFT PALATE, ISOLATED 
SBDS	APLASTIC ANEMIA 
SBDS	SHWACHMAN-DIAMOND SYNDROME 
SBF2	CHARCOT-MARIE-TOOTH DISEASE, TYPE 4B2 
SC5DL	LATHOSTEROLOSIS 
SCARB1	HIGH DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 
SCARB2	EPILEPSY, PROGRESSIVE MYOCLONIC 4, WITH OR WITHOUT RENAL FAILURE 
SCARF2	VAN DEN ENDE-GUPTA SYNDROME 
SCGB1A1	ASTHMA, SUSCEPTIBILITY TO 
SCGB3A2	ASTHMA, SUSCEPTIBILITY TO 
SCN1A	DRAVET SYNDROME 
SCN1A	GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 1 
SCN1A	GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 2 
SCN1A	MIGRAINE, FAMILIAL HEMIPLEGIC, 3 
SCN1B	BRUGADA SYNDROME 5 
SCN1B	DRAVET SYNDROME 
SCN1B	GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 1 
SCN2A	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 11 
SCN2A	SEIZURES, BENIGN FAMILIAL INFANTILE, 3 
SCN3B	BRUGADA SYNDROME 7 
SCN4A	HYPERKALEMIC PERIODIC PARALYSIS 
SCN4A	HYPOKALEMIC PERIODIC PARALYSIS, TYPE 1 
SCN4A	HYPOKALEMIC PERIODIC PARALYSIS, TYPE 2 
SCN4A	MYASTHENIC SYNDROME, CONGENITAL, ACETAZOLAMIDE-RESPONSIVE 
SCN4A	MYOTONIA, POTASSIUM-AGGRAVATED 
SCN4A	PARAMYOTONIA CONGENITA OF VON EULENBURG 
SCN4B	LONG QT SYNDROME 10 
SCN5A	ATRIAL FIBRILLATION, FAMILIAL, 10 
SCN5A	ATRIAL STANDSTILL 
SCN5A	BRUGADA SYNDROME 1 
SCN5A	CARDIOMYOPATHY, DILATED, 1E 
SCN5A	LONG QT SYNDROME 3 
SCN5A	PROGRESSIVE FAMILIAL HEART BLOCK, TYPE IA 
SCN5A	SICK SINUS SYNDROME 1, AUTOSOMAL RECESSIVE 
SCN5A	SUDDEN INFANT DEATH SYNDROME 
SCN5A	VENTRICULAR FIBRILLATION DURING MYOCARDIAL INFARCTION, SUSCEPTIBILITY 
SCN8A	COGNITIVE IMPAIRMENT WITH OR WITHOUT CEREBELLAR ATAXIA 
SCN9A	DRAVET SYNDROME 
SCN9A	ERYTHERMALGIA, PRIMARY 
SCN9A	GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 2 
SCN9A	GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 7 
SCN9A	INDIFFERENCE TO PAIN, CONGENITAL, AUTOSOMAL RECESSIVE 
SCN9A	PAROXYSMAL EXTREME PAIN DISORDER 
SCNN1A	BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 2 
SCNN1A	PSEUDOHYPOALDOSTERONISM, TYPE I, AUTOSOMAL RECESSIVE 
SCNN1B	BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1 
SCNN1B	LIDDLE SYNDROME 
SCNN1B	PSEUDOHYPOALDOSTERONISM, TYPE I, AUTOSOMAL RECESSIVE 
SCNN1G	BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 3 
SCNN1G	LIDDLE SYNDROME 
SCNN1G	PSEUDOHYPOALDOSTERONISM, TYPE I, AUTOSOMAL RECESSIVE 
SCO1	CARDIOENCEPHALOMYOPATHY, FATAL INFANTILE, DUE TO CYTOCHROME c OXIDASE 
SCO1	MITOCHONDRIAL COMPLEX IV DEFICIENCY 
SCO2	CARDIOENCEPHALOMYOPATHY, FATAL INFANTILE, DUE TO CYTOCHROME c OXIDASE 
SCP2	LEUKOENCEPHALOPATHY WITH DYSTONIA AND MOTOR NEUROPATHY 
SDC3	OBESITY 
SDCCAG8	SENIOR-LOKEN SYNDROME 7 
SDHA	CARDIOMYOPATHY, DILATED, 1GG 
SDHA	LEIGH SYNDROME 
SDHA	MITOCHONDRIAL COMPLEX II DEFICIENCY 
SDHA	PARAGANGLIOMAS 5 
SDHAF1	MITOCHONDRIAL COMPLEX II DEFICIENCY 
SDHAF2	PARAGANGLIOMAS 2 
SDHB	COWDEN-LIKE SYNDROME 
SDHB	GASTROINTESTINAL STROMAL TUMOR 
SDHB	PARAGANGLIOMA AND GASTRIC STROMAL SARCOMA 
SDHB	PARAGANGLIOMAS 4 
SDHB	PHEOCHROMOCYTOMA 
SDHC	GASTROINTESTINAL STROMAL TUMOR 
SDHC	PARAGANGLIOMA AND GASTRIC STROMAL SARCOMA 
SDHC	PARAGANGLIOMAS 3 
SDHD	CARCINOID TUMORS, INTESTINAL 
SDHD	COWDEN-LIKE SYNDROME 
SDHD	PARAGANGLIOMA AND GASTRIC STROMAL SARCOMA 
SDHD	PARAGANGLIOMAS 1 
SDHD	PHEOCHROMOCYTOMA 
SEC23A	CRANIOLENTICULOSUTURAL DYSPLASIA 
SEC23B	ANEMIA, DYSERYTHROPOIETIC CONGENITAL, TYPE II 
SEC63	POLYCYSTIC LIVER DISEASE 
SECISBP2	THYROID HORMONE METABOLISM, ABNORMAL 
SELE	HYPERTENSION, ESSENTIAL 
SELE	IgANEPHROPATHY,SUSCEPTIBILITYTO,1
SELL	IgANEPHROPATHY,SUSCEPTIBILITYTO,1
SELP	IgE RESPONSIVENESS, ATOPIC 
SELP	STROKE, ISCHEMIC 
SEMA3E	CHARGE SYNDROME 
SEMA4A	CONE-ROD DYSTROPHY 10 
SEMA4A	RETINITIS PIGMENTOSA 35 
SEMA5A	CRI-DU-CHAT SYNDROME 
SEPN1	RIGID SPINE MUSCULAR DYSTROPHY 1 
SEPSECS	PONTOCEREBELLAR HYPOPLASIA, TYPE 2D 
SEPT9	AMYOTROPHY, HEREDITARY NEURALGIC 
SERPINA1	ALPHA-1-ANTITRYPSIN DEFICIENCY 
SERPINA1	PULMONARYDISEASE,CHRONICOBSTRUCTIVE
SERPINA6	CORTICOSTEROID-BINDING GLOBULIN DEFICIENCY 
SERPINB6	DEAFNESS, AUTOSOMAL RECESSIVE 91 
SERPINC1	ANTITHROMBIN III DEFICIENCY 
SERPINC1	THROMBOSIS, SUSCEPTIBILITY TO 
SERPIND1	HEPARIN COFACTOR II DEFICIENCY 
SERPIND1	THROMBOSIS, SUSCEPTIBILITY TO 
SERPINE1	PLASMINOGEN ACTIVATOR INHIBITOR-1 DEFICIENCY 
SERPINF1	OSTEOGENESIS IMPERFECTA, TYPE VI 
SERPINF2	ALPHA-2-PLASMIN INHIBITOR DEFICIENCY 
SERPING1	ANGIOEDEMA, HEREDITARY, TYPE I 
SERPING1	COMPLEMENT COMPONENT 4, PARTIAL DEFICIENCY OF 
SERPINH1	OSTEOGENESIS IMPERFECTA, TYPE X 
SERPINH1	PRETERM PREMATURE RUPTURE OF THE MEMBRANES 
SERPINI1	ENCEPHALOPATHY, FAMILIAL, WITH NEUROSERPIN INCLUSION BODIES 
SETBP1	SCHINZEL-GIEDION MIDFACE RETRACTION SYNDROME 
SETX	AMYOTROPHIC LATERAL SCLEROSIS 4, JUVENILE 
SETX	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 
SF3B1	MYELODYSPLASTIC SYNDROME 
SFTPA1	PULMONARY FIBROSIS, IDIOPATHIC 
SFTPA1	RESPIRATORY DISTRESS SYNDROME IN PREMATURE INFANTS 
SFTPA2	PULMONARY FIBROSIS, IDIOPATHIC 
SFTPB	RESPIRATORY DISTRESS SYNDROME IN PREMATURE INFANTS 
SFTPB	SURFACTANT METABOLISM DYSFUNCTION, PULMONARY, 1 
SFTPC	INTERSTITIALPNEUMONITIS,DESQUAMATIVE,FAMILIAL
SFTPC	PULMONARY FIBROSIS, IDIOPATHIC 
SFTPC	RESPIRATORY DISTRESS SYNDROME IN PREMATURE INFANTS 
SFTPC	SURFACTANT METABOLISM DYSFUNCTION, PULMONARY, 1 
SFTPC	SURFACTANT METABOLISM DYSFUNCTION, PULMONARY, 2 
SGCA	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2D 
SGCB	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2E 
SGCD	CARDIOMYOPATHY, DILATED, 1L 
SGCD	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2F 
SGCE	MYOCLONIC DYSTONIA 
SGCG	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2C 
SGSH	CEROID LIPOFUSCINOSIS, NEURONAL, 4B, AUTOSOMAL DOMINANT 
SGSH	MUCOPOLYSACCHARIDOSIS TYPE IIIA 
SH2B3	CELIACDISEASE,SUSCEPTIBILITYTO,13
SH2B3	DIABETESMELLITUS,INSULIN-DEPENDENT
SH2B3	ERYTHROCYTOSIS, FAMILIAL, 1 
SH2B3	MYELOFIBROSIS 
SH2B3	THROMBOCYTHEMIA, ESSENTIAL 
SH2D1A	LYMPHOPROLIFERATIVE SYNDROME, X-LINKED, 1 
SH3BP2	CHERUBISM 
SH3GL1	LEUKEMIA, ACUTE MYELOID 
SH3PXD2B	FRANK-TER HAAR SYNDROME 
SH3TC2	CHARCOT-MARIE-TOOTH DISEASE, TYPE 4C 
SH3TC2	MONONEUROPATHY OF THE MEDIAN NERVE, MILD 
SHANK2	AUTISM, SUSCEPTIBILITY TO, 17 
SHANK3	CHROMOSOME 22q13.3 DELETION SYNDROME 
SHANK3	SCHIZOPHRENIA 15 
SHFM1	SPLIT-HAND/FOOTMALFORMATION1
SHFM1	SPLIT-HAND/FOOTMALFORMATION1WITHSENSORINEURALHEARINGLOSS
SHH	COLOBOMA, OCULAR 
SHH	HOLOPROSENCEPHALY 3 
SHH	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 5 
SHH	POLYDACTYLY, PREAXIAL II 
SHH	SCHIZENCEPHALY 
SHH	SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR 
SHOC2	NOONAN SYNDROME-LIKE DISORDER WITH LOOSE ANAGEN HAIR 
SHOX	LANGER MESOMELIC DYSPLASIA 
SHOX	LERI-WEILL DYSCHONDROSTEOSIS 
SHOX	SHORT STATURE, IDIOPATHIC, AUTOSOMAL 
SHOX	SHORT STATURE, IDIOPATHIC, X-LINKED 
SHROOM4	STOCCO DOS SANTOS X-LINKED MENTAL RETARDATION SYNDROME 
SI	SUCRASE-ISOMALTASE DEFICIENCY, CONGENITAL 
SIAE	AUTOIMMUNE DISEASE, SUSCEPTIBILITY TO, 6 
SIGMAR1	AMYOTROPHIC LATERAL SCLEROSIS 16, JUVENILE 
SIL1	MARINESCO-SJOGREN SYNDROME 
SIM1	OBESITY 
SIX1	BRANCHIOOTIC SYNDROME 3 
SIX1	DEAFNESS, AUTOSOMAL DOMINANT 23 
SIX3	HOLOPROSENCEPHALY 2 
SIX3	SCHIZENCEPHALY 
SIX5	BRANCHIOOTORENAL SYNDROME 2 
SIX6	MICROPHTHALMIA, ISOLATED, WITH CATARACT 2 
SLC10A2	BILE ACID MALABSORPTION, PRIMARY 
SLC11A1	BURULI ULCER, SUSCEPTIBILITY TO 
SLC11A1	MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO 
SLC11A2	ANEMIA, HYPOCHROMIC MICROCYTIC, WITH IRON OVERLOAD 
SLC12A1	BARTTER SYNDROME, ANTENATAL, TYPE 1 
SLC12A3	GITELMAN SYNDROME 
SLC12A6	AGENESIS OF THE CORPUS CALLOSUM WITH PERIPHERAL NEUROPATHY 
SLC14A1	BLOOD GROUP--KIDD SYSTEM 
SLC16A1	ERYTHROCYTE LACTATE TRANSPORTER DEFECT 
SLC16A1	HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 7 
SLC16A12	CATARACT, JUVENILE, WITH MICROCORNEA AND GLUCOSURIA 
SLC16A2	ALLAN-HERNDON-DUDLEY SYNDROME 
SLC17A3	GLYCOGEN STORAGE DISEASE Ic 
SLC17A5	INFANTILE SIALIC ACID STORAGE DISORDER 
SLC17A5	SIALURIA, FINNISH TYPE 
SLC17A8	DEAFNESS, AUTOSOMAL DOMINANT 25 
SLC19A2	THIAMINE-RESPONSIVE MEGALOBLASTIC ANEMIA SYNDROME 
SLC19A3	BASAL GANGLIA DISEASE, BIOTIN-RESPONSIVE 
SLC1A3	ALTERNATING HEMIPLEGIA OF CHILDHOOD 
SLC1A3	EPISODIC ATAXIA, TYPE 6 
SLC22A12	HYPOURICEMIA, RENAL, 1 
SLC22A18	BREAST CANCER 
SLC22A18	LUNG CANCER 
SLC22A18	RHABDOMYOSARCOMA 1 
SLC22A4	INFLAMMATORY BOWEL DISEASE 1 
SLC22A4	RHEUMATOID ARTHRITIS 
SLC22A5	CARNITINE DEFICIENCY, SYSTEMIC PRIMARY 
SLC24A1	NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE 1D 
SLC24A4	SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 6 
SLC24A5	SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 4 
SLC25A12	HYPOMYELINATION, GLOBAL CEREBRAL 
SLC25A13	CITRULLINEMIA, TYPE II, ADULT-ONSET 
SLC25A13	CITRULLINEMIA, TYPE II, NEONATAL-ONSET 
SLC25A15	HYPERORNITHINEMIA-HYPERAMMONEMIA-HOMOCITRULLINURIA SYNDROME 
SLC25A19	MICROCEPHALY, AMISH TYPE 
SLC25A19	STRIATAL NECROSIS, BILATERAL, AND PROGRESSIVE POLYNEUROPATHY 
SLC25A20	CARNITINE-ACYLCARNITINE TRANSLOCASE DEFICIENCY 
SLC25A22	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 3 
SLC25A3	MITOCHONDRIAL PHOSPHATE CARRIER DEFICIENCY 
SLC25A38	ANEMIA, SIDEROBLASTIC, PYRIDOXINE-REFRACTORY, AUTOSOMAL RECESSIVE 
SLC25A4	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 1 
SLC25A4	PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, 
SLC26A2	ACHONDROGENESIS, TYPE IB 
SLC26A2	ATELOSTEOGENESIS, TYPE II 
SLC26A2	DIASTROPHIC DYSPLASIA 
SLC26A2	EPIPHYSEAL DYSPLASIA, MULTIPLE, 4 
